Title,SubCategory,ProcedureID
Vascular Access,US-Guided Venous Access,
Drainage,Abscess Drainage,
Drainage,Paracentesis,
Drainage,Thoracentesis,
Biopsy,US-Guided Biopsy,
GI Intervention,G-Tube Placement,
GU Intervention,Nephrostomy Tube Placement,
Vascular Access,US-Guided Arterial Access,
Biopsy,CT-Guided Biopsy,
GI Intervention,GJ-Tube Placement,
GU Intervention,Suprapubic Catheter Placement,
CVC,Tunneled CVC Placement,
CVC,Non-tunneled CVC Placement,
Cardiovascular Imaging,Cardiovascular Imaging,
